Zaman damgası,Cinsiyetiniz nedir?,Kaçıncı sınıfta eğitim görüyorsunuz?,Hangi fakültede öğrenim görüyorsunuz?,Not ortalamanız hangi sistem üzerinden hesaplanıyor?,4'lük sistemde geçen dönemki ortalamanızı giriniz (Küsüratlı değerleri virgül yerine noktayla ayırınız. Örn: 2.15):,4'lük sistemde genel ortalamanızı giriniz (Küsüratlı değerleri virgül yerine noktayla ayırınız. Örn: 2.15):,100'lük sistemde geçen dönemki ortalamanızı giriniz (Küsüratlı değerleri virgül yerine noktayla ayırınız. Örn: 93.5):,100'lük sistemde genel ortalamanızı giriniz (Küsüratlı değerleri virgül yerine noktayla ayırınız. Örn: 93.5):,Önceki dönem aldığınız ders sayısını giriniz:,Önceki dönem başarısız olduğunuz ders sayısını giriniz:,Haftada kaç saat ders çalışıyorsunuz?,Sınav haftaları kaç saat ders çalışıyorsunuz?,Annenizin eğitim durumu nedir?,Babanızın eğitim durumu nedir?,Evinizin aylık toplam geliri ne kadardır?,Bir işte çalışıyor musunuz?,Eğitim-öğretim dönemi içerisinde nerede ikamet ediyorsunuz?,Günlük ortalama ekran sürenizi seçiniz:,Günlük ortalama uyku sürenizi seçiniz:
04.03.2026 22:21:42,Erkek,2.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,2.5,2.7,,,6,0,5-10 saat,30-50 saat,Lise,Üniversite,90.000+ TL,Çalışmıyorum.,Yurt,7 - 10 saat,3 - 6 saat
04.03.2026 22:25:21,Kadın,4.sınıf,Mühendislik Fakültesi,4'lük sistem,2.13,2.15,,,11,4,5-10 saat,10-20 saat,İlkokul,Lise,28.075 - 60.000 TL,Full-Time çalışıyorum.,Öğrenci evi,0 - 3 saat,7 - 10 saat
04.03.2026 22:34:12,Erkek,4.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,100'lük sistem,,,71.32,70.0,24,0,0-5 saat,50+ saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
04.03.2026 22:37:13,Kadın,2.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,3.37,2.96,,,9,0,5-10 saat,5-10 saat,Lise,İlkokul,28.075 - 60.000 TL,Çalışmıyorum.,Yurt,3 - 6 saat,7 - 10 saat
04.03.2026 22:37:18,Kadın,3.sınıf,Mühendislik Fakültesi,4'lük sistem,3.11,2.90,,,6,0,0-5 saat,30-50 saat,İlkokul,Ortaokul,60.000 - 90.000 TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
04.03.2026 22:46:23,Erkek,3.sınıf,Mühendislik Fakültesi,4'lük sistem,2.80,2.92,,,8,0,10-20 saat,30-50 saat,Lise,Lise,90.000+ TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
04.03.2026 22:46:36,Kadın,1.sınıf,Mühendislik Fakültesi,4'lük sistem,2.34,2.34,,,9,1,0-5 saat,5-10 saat,Lise,Üniversite,60.000 - 90.000 TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
04.03.2026 22:49:06,Kadın,3.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.17,2.56,,,11,0,0-5 saat,20-30 saat,İlkokul,Lise,0 - 28.075 TL,Çalışmıyorum.,Yurt,7 - 10 saat,3 - 6 saat
04.03.2026 22:56:11,Kadın,4.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,2.51 ,2.39,,,4,1,5-10 saat,30-50 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,7 - 10 saat,7 - 10 saat
04.03.2026 23:01:28,Erkek,Diğer,Diğer,4'lük sistem,3.11,2.90,,,12,0,5-10 saat,10-20 saat,Üniversite,Üniversite,90.000+ TL,Part-Time çalışıyorum.,Aile evi,0 - 3 saat,7 - 10 saat
04.03.2026 23:39:41,Kadın,2.sınıf,Mühendislik Fakültesi,4'lük sistem,1.25,2.25,,,10,4,0-5 saat,10-20 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Yurt,7 - 10 saat,7 - 10 saat
04.03.2026 23:49:33,Kadın,3.sınıf,Sağlık Bilimleri/Hemşirelik/Tıp/Diş Hekimliği Fakültesi,4'lük sistem,3.2,3.0,,,13,0,0-5 saat,5-10 saat,Üniversite,Üniversite,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,7 - 10 saat
05.03.2026 02:34:38,Kadın,3.sınıf,Eğitim/Fen Fakültesi,4'lük sistem,3.5,2.7,,,12,0,0-5 saat,0-5 saat,Ortaokul,Lise,90.000+ TL,Part-Time çalışıyorum.,Yurt,7 - 10 saat,7 - 10 saat
05.03.2026 05:48:46,Erkek,2.sınıf,Mühendislik Fakültesi,4'lük sistem,3.16,3.24,,,9,0,10-20 saat,30-50 saat,Üniversite,Ortaokul,90.000+ TL,Çalışmıyorum.,Aile evi,3 - 6 saat,3 - 6 saat
